person_id,name,birth_year,death_year,father_id,house,title,primary_territory,notes
H035,Ernest,1377,1424,H029,Habsburg,Duke of Inner Austria,Austria,
H036,Frederick IV,1382,1439,H029,Habsburg,Count of Tyrol,Tyrol,
H037,Albert II of Germany,1397,1439,H032,Habsburg,Duke of Lower Austria,Austria,
H038,Frederick III HRE,1415,1493,H037,Habsburg,Holy Roman Emperor,Empire,
H039,Albert VI,1418,1463,H037,Habsburg,Archduke of Austria,Austria,
H040,Sigismund,1427,1496,H036,Habsburg,Archduke of Austria,Austria,
H041,Ladislaus the Posthumous,1440,1457,H037,Habsburg,Duke of Lower Austria,Austria,
H042,Maximilian I,1459,1519,H038,Habsburg,Holy Roman Emperor,Empire,
H043,Philip I of Castile,1478,1506,H042,Habsburg,King of Castile,Spain,
H044,Charles V,1500,1558,H043,Habsburg,Holy Roman Emperor,Empire,
H045,Ferdinand I,1503,1564,H042,Habsburg,Holy Roman Emperor,Empire,
H046,Philip II of Spain,1527,1598,H044,Habsburg,King of Spain,Spain,
H047,Maximilian II,1527,1576,H045,Habsburg,Holy Roman Emperor,Empire,
H048,Ferdinand II Archduke,1529,1595,H045,Habsburg,Archduke of Austria,Austria,
H049,Charles II Archduke,1540,1590,H048,Habsburg,Archduke of Austria,Austria,
H050,Carlos Prince of Asturias,1545,1568,H046,Habsburg,Prince of Asturias,Spain,
H051,Philip III of Spain,1578,1621,H046,Habsburg,King of Spain,Spain,
H052,Rudolf II,1552,1612,H047,Habsburg,Holy Roman Emperor,Empire,
H053,Ernest of Austria,1553,1595,H047,Habsburg,Archduke of Austria,Austria,
H054,Matthias,1557,1619,H047,Habsburg,Holy Roman Emperor,Empire,
H055,Maximilian III,1558,1618,H047,Habsburg,Archduke of Austria,Austria,
H056,Albert VII,1559,1621,H047,Habsburg,Archduke of Austria,Austria,
H057,Charles Margrave of Burgau,1560,1618,H047,Habsburg,Margrave of Burgau,Burgau,
H058,Ferdinand II HRE,1578,1637,H054,Habsburg,Holy Roman Emperor,Empire,
H059,Maximilian Ernest,1583,1616,H054,Habsburg,Archduke of Austria,Austria,
H060,Leopold V,1586,1632,H054,Habsburg,Archduke of Austria,Austria,
H061,Charles of Austria,1590,1624,H054,Habsburg,Archduke of Austria,Austria,
H062,Philip IV of Spain,1605,1665,H051,Habsburg,King of Spain,Spain,
H063,Charles of Austria,1607,1632,H058,Habsburg,Archduke of Austria,Austria,
H064,Ferdinand of Austria,1610,1641,H058,Habsburg,Archduke of Austria,Austria,
H065,Ferdinand III HRE,1608,1657,H058,Habsburg,Holy Roman Emperor,Empire,
H066,Leopold Wilhelm of Austria,1614,1662,H065,Habsburg,Archduke of Austria,Austria,
H067,Ferdinand Charles,1628,1662,H065,Habsburg,Archduke of Austria,Austria,
H068,Sigismund Francis,1630,1665,H065,Habsburg,Archduke of Austria,Austria,
H069,Balthasar Charles,1629,1646,H062,Habsburg,Prince of Asturias,Spain,
H070,Charles II of Spain,1661,1700,H062,Habsburg,King of Spain,Spain,
H071,Ferdinand IV,1633,1654,H065,Habsburg,King of the Romans,Empire,
H072,Leopold I,1640,1705,H065,Habsburg,Holy Roman Emperor,Empire,
H073,Charles Joseph of Austria,1649,1664,H072,Habsburg,Archduke of Austria,Austria,
H074,Joseph I,1678,1711,H072,Habsburg,Holy Roman Emperor,Empire,
H075,Charles VI,1685,1740,H072,Habsburg,Holy Roman Emperor,Empire,Last male Habsburg
